reference,prediction
ඇස් දෙක තෙත් කරගෙන බලනවට?,ඇස් දෙක තෙත් කරගෙන බලනවට?
නිතිපතා කියවන පාඨකයෙක් හැටියටයි,නිතිපතා කියවන පාඨකයෙක් හැටියටයි.
බස් සේවාවන් පිළිබඳ ලැබෙන පැමිණිලි,බස් සේවාවන් පිළිබඳ ලැබෙන පැමිණිලි
අපේ ඇගේ ම දුවන ලේවල කොටසක්,අපේ ඇගේම දුවන ලේ වල කොටසක්
මොකක් ද හිතන්න පුළුවන්.,මොකක්ද හිතන්න පුළුවන්.
කුතුහලයෙන් පිරී ගියේය.,කුතුහලයෙන් පිරී ගියේය.
ලංකාවේ සිංහල හා බෞද්ධ අයිතිය වෙනුවෙනි.,ලංකාවේ සිංහල හා බෞද්ධ අයිතිය වෙනුවෙනි.
අපෙන් වෙනත් රටවල් උදවිය,අපෙන් වෙනත් රටවල් උදවිය
තථාගතයෝ පිරිනිවන් පාන්නාහ.,තථාගතයෝ පිරිනිවන් පාන්නාහ.
අදාල නිළධාරින් විසිනි.,අදාල නිලධාරින් විසිනි.
ආදී වශයෙන්,ආදී වශයෙන්
එම දැවැන්ත ආයෝජනය,එම දැවැන්ත ආයෝජනය
මේ වන විට කුඩා දරුවන්ගේ සිත් සතන්,මේ වන විට කුඩා දරුවන්ගේ සිත් සතන්
මේ කොටස රසවිඳින්න,මේ කොටස රසවිඳින්න
ඇසුරු කිරීමෙන්,ඇසුරු කිරීමෙන්
ඒකයි ඔය අසහනේට,ඒකයි ඔය අසහනේට
ඔබට හොඳ අනාගතයක් තියෙනවා,ඔබට හොඳ අනාගතයක් තියෙනවා
එහි පලිය ගැනීම,එහි පලිය ගැනීම
පුළුවන් කියල මම විශ්වාස කරන්නේ නෑ,පුළුවන් කියල මම විශ්වාස කරන්නේ නෑ.
ඉතා බැරෑරුම් පාපකර්මයක් ලෙස සැලකේ.,ඉතා බැරෑරුම් පාපකර්මයක් ලෙස සැලකේ.
සෑම සිංහල වචනයක් ම,සෑම සිංහල වචනයක්ම
සඟරාව ඵල කිරීමේ අරමුණ,සඟරාව ඵල කිරීමේ අරමුණ
අධිවේගී මාර්ගය දක්වා ද විහිදෙයි,අධිවේගී මාර්ගය දක්වා ද විහිදෙයි.
තමන් පිළිබඳ ව නිසි තක්සේරුවක්,තමන් පිළිබඳව නිසි තක්සේරුවක්
ඇත්තට ම ජනතාව අතර හොඳ ප්‍රසාදයක් තිබුණ කෙනෙක්.,ඇත්තටම ජනතාව අතර හොඳ ප්‍රසාදයක් තිබුණ කෙනෙක්
බලන අපිටත් එක්ක පව් පිරෙයි.,බලන අපිටත් එක්ක පව් පිරේ
ඒ වගේම සිංහල සබ් අතර,ඒවගේම සිංහල සබ් අතර
මෙම පුවත ඇසු මොහේතෙ ම මෙම නිවස බැලිමට ඔවුහු ගියහ.,මෙම පුවත ඇසු මොහොතේම මෙම නිවස බැලීමට ඔවුහු ගියහ.
භෞතික තරංග ද්‍රව්‍යමය සම්බන්ධයකින් තොර ව,භෞතික තරංග ද්‍රව්‍යමය සම්බන්ධයකින් තොරව
අප පළමුව පින් රැස්කර ගත යුතුය.,අප පළමුව පින් රැස්කර ගත යුතුය.
ලංකාවේ සමාජය ඇතුළේ.,ලංකාවේ සමාජය ඇතුළේ
මේ ශක්තිය බලාපොරොත්තු වෙන්නෙ?,මේ ශක්තිය බලාපොරොත්තු වන්නේ
සේවිකාවට දිනක් මුණ ගැසුනා,සේවිකාවට දිනක් මුණ ගැසුනා
එවිටත් ඔහුගේ ඇස් නොඇරේ,එවිටත් ඔහුගේ ඇස් නොඇරේ
වැසිකිළි වළක දමනු ලැබීමයි.,වැසිකිළි වළක දමනු ලැබීමයි.
පිවිතුරු අදහස්ය.,පිවිතුරු අදහස්ය.
දෙන්න බෑ කියල,දෙන්න බෑ කියලා.
ඔන්න දැන් කට්ටිය හොයනවා,ඔන්න දැන් කට්ටිය හොයනවා
මූලික ම අරමුණ වූයේ බුදු ගුණ වැනීමය.,මූලිකම අරමුණ වූයේ බුදු ගුණ වැනීමය.
ඔබ බොහෝ කාලයක් තිස්සේ,ඔබ බොහෝ කාලයක් තිස්සේ
කොල්ලටත් කෙල්ලෙක් ඉන්නවා.,කොල්ලටත් කෙල්ලෙක් ඉන්නවා.
කියන්න බැරි තරමට ම හොදයි,කියන්න බැරි තරමටම හොඳයි
ඒවා උල්ලංඝනය කරන්නන්ට,ඒවා උල්ලංඝනය කරන්නන්ට
උපාදානස්කන්ධය යනු සියුම් ශක්ති විශේෂයකුයි.,උපාදානස්කන්ධය යනු සියුම් ශක්ති විශේෂයකුයි.
සැබවින් මවන සංශෝධනය,සැබැවින් මවන සංශෝධනය
බැරි තත්වයක් ඇති වෙලා තියෙන්නෙ,බැරි තත්ත්වයක් ඇතිවෙලා තියෙන්නෙ
ඉබේ වෙච්චි දෙයක්.,ඉබේ වෙච්චි දෙයක්.
එම ධර්ම සංගායනාව පැවැති,එම ධර්ම සංගායනාව පැවැති
පිරිමි හොරු අපරාධ කරුවන්,පිරිමි හොරු අපරාධ කරුවන්
සමහර රාජ්‍යය නොවන ආයතන,සමහර රාජ්‍යය නොවන ආයතන
අයියගේ හිතේ තියෙන,අයියගේ හිතේ හයිය
ඉක්බිති ආයුෂ්මත් ආනන්දයන් වහන්සේට මේ අදහස ඇතිවූයේ ය,ඉක්බිති ආයුෂ්මන් ආනන්දයන් වහන්සේට මේ අදහස ඇතිවූයේය
වැලිකඩ තියන් හිටියා,වැලිකඩ තියෙන් හිටියා.
මනසේ රික්තකයන් ඡායාරූපවලින් පුරවා ගන්නේ නැති ව,මනසේ රික්තකයන් ඡායාරූපවලින් පුරවාගන්නේ නැතිව
ඊට පස්සේ රම්බෝව සැකපිට,ඊට පස්සේ රම්බෝව සැකපිට
එතන දී හුලාගේ මාර්ගයෙන් විශාල ආරක්‍ෂාවක්‌ සූදු පිටියට ලැබෙනවා,එතනදී හුලාගේ මාර්ගයෙන් විශාල ආරක්‍ෂාවක් සූදු පිටියට ලැබෙනවා
අනික් මේකේ ඉන්න චරිතේ තමා,අනික් මේකේ ඉන්න චරිතේ තමා
කණගාටුවට හේතුවෙයි.,කණගාටුවට හේතු වෙයි.
උගේ හුරතල් උපරිමයෙන් විඳින්න ඕන නිසා,උගේ හුරතල් උපරිමයෙන් විඳින්න ඕන නිසා
දිවි වග වලසුන් විසින් පෙරටු කරන ලදු ව වසන්නෙමි.,දිවි වග වලසුන් විසින් පෙරටු කරන ලදුව වසන්නෙමි
සසුනෙහි පිරිහී ම කොතරම් ද යන්න,සසුනෙහි පිරිහීම කොතරම් ද යන්න
විකාර පිස්සු වැඩක් කියලා.,විකාර පිස්සු වැඩක් කියලා.
ලියවිලි වෙනුවට,ලියවිලි වෙනුවට
නැව් නො එනා වරාය ය,නැව් නොයනා වරාය ය.
මෙලොව පරලොව උභයාර්ථ සංසිද්ධිය සලස්වා ගැනීමට,මෙලොව පරලොව උභයාර්ථ සංසිද්ධිය සලස්වා ගැනීමට
නමුත් දැන් පේන විදිහට,නමුත් දැන් පේන විදියට
යම්කිසි නො වැළැක්විය හැකි උවදුරක්,යම්කිසි නොගැලක්විය හැකි ඔරදුරක්
සටන් කරුවකුත්,සටන් කරුවකුත්
උඹටත් ඕනනම් වරෙන් නාගෙන බටර් කාලකුත් අරගෙන එහෙම,උඹටත් ඕනනම් අරින් නාගෙන බටල් කාලෙකුත් අරගෙන එහෙම
ඒත් උන්වහන්සේට හෝ වෙන කිසිම ජගතෙකුට.,ඒත් උන්වහන්සේට හෝ වෙන කිසිම ජගතෙකුට
ඒකෙන් අන්තිමට වැඩි විනාශයක් උණේ,ඒකෙන් අන්තිමට වැඩි විනාශයක් උනේ
හිමිකරු වන්නේ කෙසේද?,හිමිකරු වන්නේ කෙසේද?
ඒත් සිංහලට හරවපු එකක්,ඒ සිංහලට කරපු එකක්
ඔය එක්කෙනාවත්,ඔය එක්කෙනාවත්
මම පුතාට කියලා දවසක් ඉල්ලල දෙන්නම්,මම පුතාට කියලා දවසක් ඉල්ලල දෙන්නම්
හැමෝම බලන්න,හැමෝම බලන්න
ගිරා පෝතක න්‍යායයෙන්,ගිරා පෝතක න්‍යායයෙන්
තවත් විසි දෙනෙකුට වැඩි පිරිසක් තුවාල ලබති.,තවත් විසි දෙනෙකුට වැඩි පිරිසක් තුවාල ලබති.
ස්වාමියා පත්වෙයි.,ස්වාමියා පත් වෙයි.
වැදගත් සිදුවීම් රැසක් වූ නිසා,වැදගත් සිදුවීම් රැසක් වූ නිසා
කොතරම් ආශ්චර්යවත් දැයි,කොතරම් ආශ්චර්යවත් දැයි
බුදුවරුන් සතු ප්‍රඥාව,බුදුවරුන් සතු ප්‍රඥාව
අතන කියන්නේ කොහෙද,අතර තියෙන්නේ කොහෙද
භික්ෂූන් වහන්සේලා කෙරෙහි පැවති දුර්වලකම්,භික්‍ෂූන් වහන්සේලා කෙරෙහි පැවති දුර්වලකම්
කියලයි මට හිතෙන්නේ,කියලයි මට හිතෙන්නේ
එයාගේ රාජකාරිය තමයි,එයාගේ රාජකාරිය තමයි
එම ග්‍රන්ථ ප්‍රදර්ශනයේ වියදම,එම ග්‍රන්ථ ප්‍රදර්ශනයේ වියදම
ඔයාලා වෙනුවෙන් අරගෙන එන්න,ඔයාලා වෙනුවෙන් අරගෙන එන්න
මොහු කලක්‌ චීවරධාරියකු ලෙස සිට,මොහු කලක් චීවරධාරියකු ලෙස සිට
එහෙනම් ඉතින් කරන්න ඕන,එහෙනම් ඉතින් කරන්න ඕන
තව තවත් අප පහතටමයි වැටෙන්නේ.,තව තවත් අප පහතටමයි වැටෙන්නේ.
උඹ වැනි නොදත් මෝඩ අමනයන් ගැරහීමෙන්,උඹ වැනි නොදත් මෝඩ අමනයන් ගැරහීමෙන්
වෙත සමීප වන්නට එය බාධාවක් වුයේ නැහැ.,වෙත සමීප වන්නට එය බාධාවක් වූයේ නැහැ.
එයාට වැඩිය ඉංග්‍රීසි කතා කරන්න බැරි නිසා,එයාට වැඩිය ඉංග්‍රීසි කතා කරන්න බැරි නිසා
මෙම කරුණු පහ සම්පූර්ණ විය යුතුය.,මෙම කරුණු පහ සම්පූර්ණ විය යුතුය.
හෙලේනා විජයවර්ධන මැතිණියයි.,හෙලේනා විජයවර්ධන මැතිනියයි
ධර්මය කෙරෙහි සංඝයා කෙරෙහි පහදවන්න කියලා.,ධර්මය කෙරෙහි සංඝයා කෙරෙහි පහදවන්න කියලා.
එම රෝහලේ සිට ගිලන් රථයකින්,එම රෝහලේ සිට ගිලන් රථයකින්
ඔස්සේ දන්වන්න.,ඔස්සේ දන්වන්න.
තාත්තා ද අහිමි ව සිටි,තාත්තාද අහිමිව සිටි
ඒත් අලි පැටියාගේ පැමිණීම,ඒත් අලි පැටියාගේ පැමිණීම
ඉතින් අප අදහස් කළා,ඉතින් අප අදහස් කලා
භික්‍ෂූන් වස් වසන,භික්‍ෂූන් වස් වසන
ආගමික කටයුතු කෙරෙහි,ආගමික කටයුතු කෙරෙහි
ඒවා අල්ලගෙන,ඒවා අල්ලගෙන
එබඳු පිරිසගෙන් ධර්මය ඇසීම,එබඳු පිරිසගෙන් ධර්මය ඇසීම
නුග රුකත් තල් රුකත් පෙන්වා දිය හැකි ය.,නුග රුකත් තල් රුකත් පෙන්වා දිය හැකි ය.
හකුලා දැක්විය හැකි නව එළඹුමක් නො වේ,හකුලා දැක්විය හැකි නව එළඹුමක් නොවේ.
පොලීසිය හැසිරුණ ස්‌වරූපය නිසයි.,පොලිසිය හැසිරුණ ස්වරූපය නිසයි
යම් පුද්ගලයෙක් ශීලයෙහි පිහිටා,යම් පුද්ගලයෙක් සීලයෙහි පිහිටා
එතැන් සිට අද දක්වාම,එතැන් සිට අද දක්වාම
මේ මනුස්සයා ඇයි තමන් අවිවාහක බව,මේ මනුස්සය ඇයි තමන් අවිවාහක බව
එකතු නොවුනොත්,එකතු නොවුනත්
එම නාද රටා මෙතෙක් කලක් පවත්වා ගන්නට,එම නාද රටා මෙතෙක් කලක් පවත්වා ගන්නට
එයින් කියවෙනුයේ ලාංකේය වැසියන් අලුත් ස්ථානයක,එයින් කියවෙනුයේ ලාංකේය වැසියන් අලුත් ස්ථානයක
මේ නිසා විෂය කරුණු හදාරන දරු දැරියෝ,මේ නිසා විෂය කරුණු හදාරන දරු දැරියෝ
මෙම කරුණු,මෙම කරුණු
අනේ සිංහල කව්රුහරි දෙනවනම් කොච්චර හොඳයි ද ?,අනේ සිංහල කවුරුහරි දෙනවා නම් කොච්චර හොඳයිද
උපාලි කොඩිකාර මහතාටත් හිමි වී ඇති බව,උපාලි කොඩිකාර මහතාටත් හිමිවී ඇති බව
මාත් බාගෙන තියෙන්නේ,මාත් බාගෙන තියෙන්නේ
එහෙම වෙන්නත් හේතුව,එහෙම වෙන්නත් හේතුව
එම සීමාව පිළිබඳ කිසිවකුටත් දැනුම් නොදී,එම සීමාව පිළිබඳ කිසිවෙකුටත් දැනුම් නොදී
විස්තරයකින් ආරම්භ වී,විස්තරයකින් ආරම්භ වී
නොසිතූ ලෙස බෙලහීන තත්ත්වයට පත් වූහ,නොසිතූ ලෙස බෙලහීන තත්ත්වයට පත් වූහ.
බුද්ධිමත්,බුද්ධිමත්
මේ පොඩි දේවල්වලට රණ්ඩු වෙලා තේරුමක් නැහැ,මේ පොඩි දේවල් වලට රණ්ඩු වෙලා තේරුමක් නැහැ.
රණවක විසින් පවත්වාගෙන යනු ලබන,රණවක විසින් පවත්වාගෙන යනු ලබන
අහිංසක මිනිස්සු කුලප්පු කරන එක තාම උන්ගේ සතුට.,අංශක මිනිස්සු කුලප්පු කරන එක තාම උන්ගේ සතුටු.
එදා තිබුණු ආණ්ඩුව,එදා තිබුණු ආණ්ඩුව
ඉතින් ඔව් වගේ මිනිස්සු ඉන්න රටවල්,ඉතින් ඔව් වගේ මිනිස්සු ඉන්න රටවල්
හැබැයි සෝම හාමුදුරුවන්ගේ දේහය මතින්,හැබැයි සෝම හාමුදුරුවන්ගේ දේහය මතින්
හෝම්ස්ගේ කටහඬෙහි තිබුණේ කෝපයකි.,හෝම්ස්ගේ කටහඬෙහි තිබුණේ කෝපයකි.
ඊයෙ රෑ මාළිගයත් ජනපදයත්,ඊයෙ රෑ මාළිගයත් ජනපදයත්
ඔය වගේ,ඔය වගේ
බුදු පා පහසින් පවිත්‍රත්වයට පත් කළහ,බුදු පා පහසින් පවිත්‍රත්වයට පත් කළහ.
එක් කුඩා ගසක පලක් ප්‍රමාණයක් දැකිය හැකි ය,එක් කුඩා ගසක පළක් ප්‍රමාණයක් දැකිය හැකිය.
පුරුෂයින් උඩුකය නිරුවත් ව,පුරුෂයින් උඩුකය නිරුවත්ව
හැබැයි අර රට පුරා ශාඛා තියන,හැබැයි අර රට පුරා ශාඛා තියන
එහා ගිය මානසික දුරස්ථභාවයක්,එහා ගිය මානසික දුරස්ථභාවයක්
ඔබ පසුබට වෙන්න එපා.,ඔබ පසුබට වෙන්න එපා
එම දේවතාව බුදුරජාණන් වහන්සේගෙන්,එම දේවතාව බුදුරජාණන් වහන්සේගෙන්
පස් වෙන පුද්ගලයින් සහිත රටක්,පස් වෙන පුද්ගලයින් සහිත රටක්
පවුල තුළ දැකගත හැකි ය.,පවුල තුළ දැක ගත හැකි ය.
සමාගම් කාරයන්ට තියන රුදාව මොකක්ද?,සමාගම් කාරයන්ට තියන රුදාව මොකක්ද?
තිබුණ අසනීපවලට,තිබුණ අසනීපවලට
එයට සහභාගී වන්නා,එයට සහභාගී වන්නා
එවැනි වචන සිදුකිරීම,එවැනි වචන සිදුකිරීම
සොන්යාගේ අභිරහස් ගමනක් ගැනයි.,සොන්යාගේ අබිරහස් ගමනක් ගැනයි.
වන්දි ගෙව් වේ,වන්දි ගෙව්වේ
මේ වසරේ දෙන්න පුළුවන් වෙන්නේ,මේ වසරේ දෙන්න පුළුවන් වෙන්නේ
සාමාන්‍යයෙන් මේ වගේ කාලෙක,සාමාන්‍යයෙන් මේ වගේ කාලෙක
මම නිදහස් වුණා,මම නිදහස් වුණා
වෙන රට වලත් තියනවා.,වෙන රට වලත් තියෙනවා.
නමුත් එතන දී,නමුත් එතනදි
හැමවෙලාවෙ ම රජ කරන්නේ,හැමවෙලාවෙම රජ කරන්නේ
මේ දෙකොටස අතර ලකුණු පරතරයට,මේ දෙකොටස අතර ලකුණු පරතරයට
මැත්ස්වලින් කැම්පස් යන්න හිටපු පොරක්.,මැත්ස් වලින් කැම්පස් යන්න හිටපු පොරක්
ලේඛන කටයුතුවලට යොමු වූ මිනිසා,ලේඛන කටයුතුවලට යොමු වූ මිනිසා
අනුභව කරනවා,අනුභව කරනවා.
ඒවා ගැන පර්යේෂණ හා විශ්ලේෂණ රාශියක් සිදු කොට ඇත.,ඒවා ගැන පර්යේෂණ හා විශ්ලේෂණ රාශියක් සිදු කොට ඇත.
පොල්ගහවෙල ශාන්ත බර්නාදෙත් ආදර්ශ මහා විද්‍යාලයට ඇතුළත් වුණා,පොල්ගහවෙල ශාන්ත බර්නාදෙත් ආදර්ශ මහා විද්‍යාලයට ඇතුළත් වුණා.
ජයවිලාල් සාක්කුවෙන් ගත් දුම් වැටිය දල්වාගෙන,ජයවිලාල් සාක්කුවෙන් ගත් දුම් වැටිය දල්වාගෙන
රහස් පරීක්ෂණ නැවැත්වීමට,රහස් පරීක්ෂණ නැවැත්වීමට
අදින් පසු මම ඉහත නම් කියූ,අදින් පසු මම ඉහතනම් කියූ
අවසන් වන බව මම දැන සිටියෙමි,අවසන් වන බව මම දැනෙන සිටියමි.
හුණු බදාමයෙන් ඔප කළ,හුණු බදාමයෙන් ඔප කළ
මෙතන ඇවිල්ලා,මෙතන ඇවිල්ලා
අකුසල් බැහැර කරමින්,අකුසල් බැහැර කරමින්
දේශපාලනය නොවෙයි තාක්ෂණයයි,දේශපාලනය නොවෙයි තාක්ෂණයයි
ඉතින් අපි ඒකට ඒ වෙනුවෙන්,ඉතින් අපි ඒකට ඒ වෙනුවෙන්
තායිලන්තයේ පාලක පක්ෂය,තායිලන්තයේ පාලක පක්‍ෂය
මේ නිසා තම බල පුළුවන්කාරකම,මේ නිසා තම බල පුලුවන්කාරකම
ඉතින් මේ යාළුවො දෙන්නා එදා,ඉතින් මේ යාළුවො දෙන්න එදා
උසස් වීමක් ද සිදු වනු ඇත,උසස් වීමක් ද සිදු වනු ඇත.
හෙතෙ ම පවස යි.,හෙතෙම පවසයි.
එල එල,එල එල.
නිවැරදි ව ධර්මය පරිශීලනය කරන්නෙකු,නිවැරැදිව ධර්මය පරිශීලනය කරන්නෙකු
අපේ රටේ පවතින නීති,අපේ රටේ පවතින නීති
පස්සෙ එකාට බය නැත,පස්සෙ එකාට බය නැත
කළ දේ හෙළා දකින්නේ.,කළ දේ හෙලා දකින්නේ
ආබාධිත මිනිස්සුන්ට අපහාස කරන්න එපා,ආබාධිත මිනිස්සුන්ට අපහාස කරන්න එපා.
යෝජනාවෙහි අරුත,යෝජනාවෙහි අරුත
දැන් ඔබ ආවාට ගියාට,දැන් ඔබ ආවාට ගියාට
හැබැයි මේ ආපහු ගෙවී ම,හැබැයි මේ ආපහු ගෙවීම
ජයග්‍රහණයෙන් උද්දාමයට පත්,ජයග්‍රහණයෙන් උද්දාමයට පත්
එතුමිය ඉපදුණේ තුසිත දෙව්ලොව දිව්‍ය කුමාරයෙක් වෙලා,එතුමිය ඉපදුනේ තුසිත දෙව්ලොව දිව්‍ය කුමාරයෙක් වෙලා
ජපානේ ඇමරිකාවේ වගේ රටවලට,ජපානේ ඇමරිකාවේ වගේ රටවලට
ඔබේ අම්මට දිගාසිරි,ඔබේ අම්මට දිගාසිරි
අත්‍යවශ්‍යයෙන් ම ඇය මුහුණ දීලා නෑ.,අත්‍යවශ්‍යයෙන්ම ඇය මුහුණ දීලා නැහැ.
අලුත් නිර්මාණ ගැනත් මතක් කරමු.,අලුත් නිර්මාණ ගැනත් මතක් කරමු.
සංග්‍රහ කරන්න ගෙනාපු ලෙමන් පෆ් පෙට්ටියක්,සංග්‍රහ කරන්න ගෙනාපු ලෙමං පෆ් පෙට්ටියා.
දහම් පාසල් ආරම්භයට ශක්තිය දුන්,දහම් පාසල් ආරම්භයට ශක්තිය දුන්
උනුත් මාර පීඩනයකින් වැඩ කරනවා ඇති නේද,උනුත් මාර පීඩනයකින් වැඩ කරනවා ඇති නේද?
මෙකී අවිද්‍යාව නසා,මෙකී අවිද්‍යාව නසා
ග්‍රිෆ්ගෙ විවාහ මංගල්‍යයෙ හිරවෙනවා,ග්‍රිෆ්ගෙ විවාහ මංගල්‍යයෙ හිර වෙනවා
හ්ම්ම් තව එකක් දෙකක් දැම්මා නම්?,ම්න් තව එකක් දෙකක් දැම්මනම්
ඒක ලැබුණු හැටියෙම නිකුත් කරන්ඩ,ඒක ලැබුණු හැටියෙන්ම නිකුත් කරන්ඩ
හැබැයි ඒකට අපේ පෝරමයෙහි,හැබැයි ඒකට අපේ පෝරමේහි
මම මේ ක්ෂේත්‍රයට ආවේ.,මම මේ ක්‍ෂේත්‍රයට ආවේ
රාජ්‍යය නීති මඟින්,රාජ්‍යය නීති මඟින්
ආරක්‍ෂකයාටද ඇසෙන නොඇසෙන ගණනටය.,ආරක්ෂකයාටද ඇසෙන නොඇසෙන ගණනටය.
අනුරාධපුරය යනුවෙන් අපි හඳුන්වන්නේ,අනුරාධපුරය යනුවෙන් අපි හඳුන්වන්නේ
ඔහු කෙසේ හෝ අනිකුත් ඝාතකයින්ගෙන් මිදී,ඔහු කෙසේ හෝ අනිකුත් ඝාතකයින්ගෙන් මිදී
එක දිගට කතන්දර අහලා ඔයාලට මහන්සිත් ඇතිනෙ,එක දිගට කතන්දර අහලා ඔයාලට මහන්සිත් ඇතිනෙ
බොහෝ විට ජාත්‍යන්තර මැදිහත් වීම මත,බොහෝ විට ජාත්‍යන්තර මැදිහත් වීම මත
අනුර සේනානායක මහතාට නියෝග කර තිබිණි,අනුර සේනානායක මහතාට නියෝග කර තිබිණි
නමුත් එයාගෙ පුතෙක්,නමුත් එයාගේ පුතෙක්
කියලා මෙයා හරියට ම දන්නේ නෑ.,කියලා මෙයා හරියටම දන්නේ නෑ.
එවැනි චන්ද්‍රග්‍රහණයක්,එවැනි චන්ද්‍රග්‍රහණයක්
ධර්ම ඤාණය නැතුව ශ්‍රද්ධාවට එන්නත් බෑ,ධර්ම ඤාණය නැතිව ශ්‍රද්ධාවට එන්නත් බෑ.
නමුත් එහෙම උනොත්,නමුත් එහෙම උනොත්
එම්බා පාලිතයෙනි,එම්බල පාලිතයෙනි
පිහිට වනු ලැබේ.,පිහිටවනු ලැබේ.
වඩා හානිදායක වූ අවස්ථා හා හානිදායක නො වූ අවස්ථා ද,වඩා ආනිදායක වූ අවස්ථා හා ආනිදායක නොවූ අවස්ථා ද
මියගිය තැනැත්තාගේ නිවස අසල,මියගිය තැනැත්තාගේ නිවස අසල
එයා කෝච්චියට නැග්ගෙ,එයා කෝච්චියට නැග්ගෙ
මේ සම්බන්ධ විග්‍රහයෙන් දක්වන්නේ,මේ සම්බන්ධ විග්‍රහයෙන් දක්වන්නේ
විරුද්ධ වෙන්නෙත් නෑනේ.,විරුද්ධ වෙන්නෙත් නෑනේ.
අකුරු කියවන්න හොඳ මෙයාල තමයි.,අකුරු කියවන්න හොඳ මෙයාලා තමයි
යෞවනයාගේ වචන තුළ නොකියූ,යෞවනයාගේ වචන තුළ නොකියූ
ඒත් ඒගොල්ලන්ට ලැබුණෙ,ඒත් ඒගොල්ලන්ට ලැබුණෙ
මේ මෑතක් වන තුරුම,මේ මෑතක් වන තුරුම
එයා ඉරිසියා කරන්නෙ නැති,එයා ඉරිසියා කරන්නෙ නැති
උපතේ සඳු දෙපස,උපතේ සඳු දෙපස
උන්ගේ රතු කට්ටත් පනීවිනේ.,උන්ගේ රතු කට්ටත් පනීවිනේ.
මේ සියලු කරුණු සැලකිල්ල ගත් විට,මෙය සියලු කරුණු සැලකිල්ල ගත් විට
උදේ වනවිට හිටියේ නැහැ.,උදේ වනවිට හිටියේ නෑ.
විනීත වචන මාලාවකිනුයි,විනීද වචන මාලාවකිනුයි
පුළුවන් තත්ත්වයක් නෑ,පුළුවන් තත්ත්වයක් නෑ.
"හිතේ තියෙන ළාමක දේවල් දුරු කරගෙන,",හිතේ තියෙන ළාමක දේවල් දුරු කරගෙන
එවිට සේවකයන්ට දැකගත හැකි වූයේ,එවිට සේවකයන්ට දැකගත හැකි වූයේ
මහාවංසයේ සඳහන්ය,මහාවංසයේ සඳහන්ය
මොකද මේ තැනට එන්න,මොකද මේ තැනට එන්න
අනික මේ අදහස නිසා කෙනෙක්,අනික මේ අදහස නිසා කෙනෙක්
පිරිස් හැසිරවීමේ කටයුතු ද සංවිධානය වී ඇත,පිරිස් හැසිරවීමේ කටයුතුද සංවිධානය වී ඇත
වෙනස් කරන්න වෙනවා,වෙනස් කරන්න වෙනවා.
අපේ අම්මගේ කම්බායක්,අපේ අම්මගේ කම්බායක්
බෝධින් වහන්සේ දෙගල්දොරුව විහාරයේ චිත්‍ර නිර්මාණවලට,බෝධීන් වහන්සේ දෙගල්දොරුව විහාරයේ චිත්‍ර නිර්මාණවලට
මෙතන නෙවෙයි,මෙතන නෙවෙයි.
ඒත් මේ කොපි උනාට,ඒත් මේ කොපි උනාට
නොපමා ව අධ්‍යාපන අමාත්‍යංශයට දැනුම් දෙන්න,නොපමාව අධ්‍යාපන අමාත්‍යංශයට දැනුම් දෙන්න
කෝපි මල් අහුරක් තියා,කෝපි මල් අහුරක් තියා
වගා කරලා නෙමෙයි ද ගන්නේ?,වගා කරලා නෙමෙයිද ගන්නේ?
සිංහල හෝඩිය අකුරු අනන්තය,සිංහල හෝඩිය අකුරු අනන්තය.
බෙදා හදා ගැනීම,බෙදා හදා ගැනීම
මහායාන දහම වඩාත් නම්‍යශීලී සහ ස්වාධීන වෙයි.,මහායාන දහම වඩාත් නම්‍යශීලී සහ ස්වාධීන වෙයි.
එතැන යමක් හැදෙන්නේ නැතිනම්,එතැන යමක් හැදෙන්නේ නැතිනම්
නමුත් ඔය ලොකු සීන්,නමුත් ඔය ලොකු සීන්
අපගේ රටවල අර්බුදය උග්‍ර වී ඇත,අපගේ රටවල අර්බුදය උග්‍ර වී ඇත.
මාර්කට් වෙච්ච බව තමයි,මාර්කට් වෙච්ච බව තමයි
කෙල්ලන්ගෙන් ලකුනක් කාරිය දාගන්න ඕනා,කෙල්ලන්ගෙන් ලකුණක් කාරිය දාගන්න ඕන.
එක් කෘතියක් වූයේ ධම්මපදයයි.,එක් කෘතියක් වූයේ ධම්මපදයයි.
වෙනත් ලෝකයකි.,වෙනත් ලෝකයකි.
හිටපං බං කියලා.,හිටපං බං කියලා
හෙනකඳ බිසොබණ්ඩාර,හෙනකඳ විශෝබණ්ඩාර
වෘත්තාකාර මළුවක,වෘත්තාකාර මළුවක
මොන වගේ ප්‍රශ්නයක් නිසා මෙහෙ ම වුණා ද,මොන වගේ ප්‍රශ්නයක් නිසා මෙහෙම වුණාද
ඒ බලතල ඉල්ලලා නඩුවක් දැම්මොත්,ඒ බලතල ඉල්ලලා නඩුවක් දැම්මොත්
ඈත කාලයේ දී පවා තිබී ඇත.,ඇද කාලයේදී බව තිබී ඇත.
මෙහි දී සිදු කරන්නේ කුමක් නිසා,මෙහිදී සිදු කරන්නේ කුමක් නිසා
වියතුන්ගේ මතයයි.,වියතුන්ගේ මතයයි.
වාර්ෂික ව සපයන ආධාර මෙන් සිව් ගුණයකි.,වාර්ෂිකව සපයන ආධාර මෙන් සිව් ගුණයකි.
හරි ඒ හින්දා,හරි ඒ හින්දා
