reference,prediction
මෙහි දී විශේෂයෙන් දක්වා ඇත්තේ,මෙහි දී විශේෂයෙන් දක්වා ඇත්තේ
ඉල්ලා සිටීමක් බඳු ය.,ඉල්ලා සිටීමක් බඳුය.
මෙය සිදුකිරීමට,මෙය සිදු කිරීමට
පවතින උග්‍ර යථාර්ථය හමුවේ,පවතින උග්‍ර යථාර්ථය හමුවේ.
අනෙකුත් බොහෝ පොත්,අනෙකුත් බොහෝ පොත්
ඇත්ත වශයෙන් ම,ඇත්ත වශයෙන් ම
ඒ වෙහෙස වටිනවා කියා සිතෙනවා.,ඒ වෙහෙස වටිනවා කියා සිතෙනවා.
කාටහරි බනින්නයි භාවිතා කරන්නේ.,කාට හරි බනින්නයි භාවිතා කරන්නේ.
ඔවුනොවුන් වෙඩි තබා ගැනීමෙන්,ඔවුනොවුන් වෙඩි තබා ගැනීමෙන්
රැකීරක්ෂා කටයුතුවල සාර්ථකත්වයක් පෙන්නුම් කරයි.,රැකීරක්ෂා කටයුතුවල සාර්ථකත්වයක් පෙන්නුම් කරයි.
ආයෙත් මාතෘකාවට ආවොත්,ආයෙත් මාතෘකාවට ආවොත්
ඔය ඩොකාලා ප්‍රොපාලා,ඔය ඩොකාලා පොප්පාලා
කිසිසේත් ම තම සේවය වෙනුවෙන්,කිසිසේත් ම තම සේවය වෙනුවෙන්
දෙනමක් එක මග වඩින්න එපා කියල.,පෙනමක් එක මග වඩින්න එපා කියලා.
ග්‍රාම නිලධාරී සේවය අඩපණ වීම,ග්‍රාම නිලධාරී සේවය අඩපණ වීම
හැබැයි මෙයාගේ වේදිකා නාට්‍යයේ නම්,හැබැයි මෙයාගේ වේදිකානාත්‍යයේ නම්
ඒත් තමන්ට ම,ඒත් තමන්ට ම
ඒකා කි සැරයක් නම්,ඒකා කී සැරයක් නම්
නඩත්තු කෙරෙන මර්ධක යන්ත්‍රයකි.,නරත්තු කෙරෙන මර්දක යන්ත්‍රයකි.
ඒත් මුළු වීඩියෝ එකම බැලුව ම,ඒත් මුළු වීඩියෝ එකම බැලුව ම
මා එක්ක තරහ වෙලා වගේ,මා එක්ක තරහා වෙලා වගේ
සිද්ධ වෙන්නේ කුමක් ද කියා.,සිද්ධ වෙන්නේ කුමක් ද කියා
ඒකයි කිව්වේ,ඒකයි කීවේ.
උන් මට වඩා හින්න වුණා,උන් මට වඩා හින්න වුණා
බෞද්ධයින්ගේ මිනිස් ගතිය.,බෞද්ධයන්ගේ මිනිස් ගතිය
1854 නොවැම්බර් මස 27වන දිනදීය.,1857 නොවැම්බර් මස 27 වන දිනදී ය.
කෑම පස්සේ දුවන්නේ නෑ.,කෑම පසු දුවන්නේ නෑ.
එක් දුම්රිය එන්ජිමක් අනෙක් එන්ජිම තුළට කඩාගෙන ගොස් තිබීම,එක් දුම්රිය එන්ජිමක් අනෙක් එන්ජිම තුළට කඩාගෙන ගොස් තිබීම
තොල් දෙකේ ටිකක්,තොල් දෙකේ ටිකක්
එකම වගේ විස්තර එන්න ඉඩ තියනවා,එකම වගේ විස්තරෙන් ම ඉඩ තියෙනවා
ඇතැම් ගම්මානවලට රාජ්‍ය නිලධාරීන් ආවේ ගියෙවත් නැති තරම්ය.,ඇතැම් ගම්මානවලට රාජ්‍ය නිලධාරීන් ආවේ ගියේවත් නැති තරම්ය.
මේ ටූල් එක පාවිච්චි කළා,මේ ටූල් එක පාවිච්චි කළා.
එක් එක් අමාත්‍යංශයන් යටතේ ඇති රාජ්‍ය ආයතනවල,එකෙක් අමාත්‍යාංශයෙන් යටතේ ඇති රාජ්‍ය ආයතනවත්
ඉතාමත් ආදරයෙන් ගුරුවරයාට කථා කළා.,ඉතාමත් ආදරයෙන් ගුරුවරයාට කතා කළා.
මින් ජනතාවට ප්‍රයෝජනයක් අත් නොවන අතර ම,මින් ජනතාවට ප්‍රයෝජනයක් අත් නොවන අතර ම
ඉඩ දෙන්න ඔබේ සහෘදයාට,ඉර දෙන්න ඔබේ සහෘදයාට
දිය රළ පෙරළෙන අයුරු,දුය රොළ පෙරළෙන අයුරු
ඉන්දියාව එක්ක ඕනෑ ම කණ්ඩායමක් ආවොත්,ඉන්දියාව එක්ක ඕනෑ ම කණ්ඩායමක් ආවොත්
ඇය දරුවන්ගේ යහපත පිණිස,ඇය දරුවන්ගේ යහපත පිණිස
ඇයට අවස්ථාව ලැබිණ,ඇයට අවස්ථාව ලැබිණ
සාමාන්‍යයෙන් කවර හෝ ධර්මයකට,සාමාන්‍යයෙන් කවර හෝ ධර්මයකට
පැවැත් ම පවත්වනා තුරු,පැවැත් ම පවත්වන අතුරු
ලංකාවේ සිංහල අපි,ලංකාවේ සිංහල අපි
ඒවා දේශීය විදේශීය හා ආවේණික වශයෙන්,ඒවා දේශීය විදේශීය හා ආවේණික වශයෙන්
අම්පාර දීඝවාපියෙන් සොයා ගන්නා ලද,ආම්පාර දීඝවාපියෙන් සොයා ගන්නා ලද
අපි දෙවියන් ලෙස හඳුන්වන නීතිය,අපි දෙවියන් ලෙස හඳුන්වන නීතිය
අපිට ඉතුරු වෙන එකම දෙ මේ වැඩෙන්.,අපට ඉතුරු වෙන එකම දේ මේ වැඩෙන්
කල්තබා ගන්නා ලදී,කල් තබා ගන්නා ලදි
එහෙත් ඒ ප්‍රකාශය අනිවාර්යයෙන් ම,ඒත් ඒ ප්‍රකාශය අනිවාර්යයෙන් ම
තම පැවැත් ම උදෙසා,තම පැවැත් ම උදෙසා
ඒත් මගේ යෙහෙළියන් තමයි,ඒත් මගෙයි එළියන් තමයි
"එමතුදු නොව,","එම තුදු නොව,"
ලංකාවේ සිංහල අපි,ලංකාවේ සිංහල අපි
අර කාටූන් එකේ තියෙන චරිත ටික,අර කාටූන් එකේ තියෙන චරිත ටික
අංග විකලභාවයට පත්,අංග විකලභාවයට පත්
මහජනතා ප්‍රසිද්ධියක් සහිතවයි.,මහජනතා ප්‍රසිද්ධියක් සහිතවයි.
හිත මිතුරන් අතර,හිත මිතුරන් අතර
සිතු මනාපයට,සිතු මනාපයට
අම්මා රෝහලට ගෙන යෑමට,අම්මා රෝහලට ගෙන යාමට
බස්නාහිර පළාත් සභා මැතිවරණයේ දී,බස්නාහිර පළාත් සභා මැතිවරණයේ දී
එයට පිළිතුරු දෙමින්,එයට පිළිතුරු දෙමින්
'බෞධයකු' යයි පුන පුනා කීම නිසා,බෞද්ධයකු යයි පුන පුනා කීම නිසා
දර්ශනයේ ස්වභාවයයි.,දර්ශනයේ ස්වභාවයයි.
සම්පූර්ණ සතුටක්,සම්පූර්ණ සතුටක්
හරි එකෙන් කමක් නැහැ,හරි එකෙන් කමක් නැහැ
මොකද අපි දීපු ඒවාට දීලා නෑ.,මොකද අපි දීප්පු ඒවට දීල නෑ
ඇතැම් ප්‍රශ්නවලට පිළිතුරු නොදුන් අතර,ඇතැම් ප්‍රශ්නවලට පිළිතුරු නොදුන් අතර
එහෙත් කිසිවෙකු විශ්ලේෂණය කර,එහෙත් කිසිවෙකු විශේෂණය කර
උසස් පින්කමක් වශයෙන් සැලකූහ.,උසස් පින්කමක් වශයෙන් සැලකූහ
ශෝකයකුත් භයකුත් නැත.,ශෝකයකුත් භයකුත් නැත.
බසයේ ඉඳගත්තේය.,බසයේ ඉඳගත්තේය.
ඒත් ලංකාවේ වසන්තය ලංකාවට අනිවාර්යයෙන් අවශ්‍යයි.,ඒත් ලංකාවේ වසන්තය ලංකාවට අනිවාර්යයෙන් අවශ්‍යයි
හ්ම්ම් තව එකක් දෙකක් දැම්මා නම්?,හ්ම් තව එකක් දෙකක් දැම්මා නම්
මේකෙ එන සමහර තැන් නිසා,මේකෙ එන සමහර තැන් නිසා
එවැනි තත්ත්වයක් තිබුණෙ නැහැ,එවැනි තත්ත්වයක් තිබුණෙ නැහැ
ආත්ම ගාණක් හම්බ කරලත්,ආත්ම ගන්නක් හම්බ කරලත්
කොළඹ වරායට ගියොත් තව ඔය වගේ,කොළඹ වරායට ගියොත් තව ඔය වගේ
එය සරළ හෝ පහසු කටයුත්තක් වන්නේ නැත.,එය සරල හෝ පහසු කටයුත්තක් වන්නේ නැත
දකුණේ සිංහල සමාජය දශක තුනක් පුරා,දකුණේ සිංහල සමාජය දශක තුනක් පුරා
හැන්සලුයි ග්‍රේටලුයි ආපහු ගෙදර එන්න පාර හොයාගෙන යද්දී,හැන්සැලුයි ග්‍රේටලුයි ආපහු ගෙදර එන්න පාර හොයාගෙන යද්දි
ඔය ගොල්ලොන්ට තේරේවී,ඔය ගොල්ලන්ට තේරේවි
විග්‍රහ කර ඇති නිසා,විග්‍රහ කර ඇති නිසා
වෙනදාත් ග්‍රීස් ගත්තේ හැඳුනුම්පත පෙන්නලාදැයි,වෙනදාත් ග්‍රීස් ගත්තේ හැඳුනුම්පත පෙන්නලා දැයි
මොකද වෙන්නේ කියලා,මොකද වෙන්නේ කියලා
නොයිවසිල්ලෙන් ඉන්න නිසා,නොඉවසිල්ලෙන් ඉන්න නිසා.
රෑට උනත් යන්න පුලුවන්කම තියෙන එකද?,රෑට උනත් යන්න පුළුවන්කම තියෙන එකද?
වෙන වෙන ම සීලය ආරක්ෂා කරනවා,වෙන වෙන ම සීලය ආරක්ෂා කරනවා
ඉතිහාසය පුරාවට අපි ඔහොම කතා ඇහුවා,ඉතිහාසය පුරාවට අපි ඔයා ම කතා ඇහුවා
කිසිදු පුරා විද්‍යාත්මක සාධකයක්,කිසිදු පුරා විද්‍යාත්මක සාධකයක්
මේ විෂයට අත ගහන්න ඕනේ.,මේ විෂයට අත ගහන්න ඕනේ
පොත් ලක්ෂයක් කියවනවාට වඩා වටිනවා.,පොත් ලක්ෂයක් කියවනවාට වඩා වටිනවා.
මෙම ලිපියේ සඳහන් වන නාග රජතුමා පිළිබඳ ව,මෙම ලිපියේ සඳහන් වන නාග රජතුමා පිළිබඳ ව
ඉතා ගෞරවයෙන් මා ආරක්ෂා කරන මේ පංච ශීලය,ඉතා ගෞරවයෙන් ම ආරක්‍ෂා කරන මේ පංචශීලය
ඉතින් මං දැනට ඒ ආකාරයේ,ඉතින් මං දැනට ඒ ආකාරයේ
ඒත් මගේ,ඒත් මගේ
අපේ ජීවිතය සමග බැඳී තිබුණ යුගය,අපේ ජීවිතය සමඟ බැඳී තිබුණ යුගය
කාලෙට නොගැලපෙනවා විතරක් නෙවි,කාලෙට නොගැළපෙනවා විතරක් නෙවි
හොර සිත ඇති වෙන්නේ නැහැ.,හොර සිත ඇති වෙන්නේ නැහැ.
උන්වහන්සේගේ ප්‍රධානත්වයෙන් සිදු කළේ.,උන්වහන්සේගේ ප්‍රධානත්වයෙන් සිදුකළේ
ඊටත් වඩා අවදානම්.,ඊටත් වඩා අවදානම්
ඇට නහර ඉතිරි වී,ඇටන හරි ඉතිරි වියත්
කිසිදු විටෙක පරිසරය කෙලෙසීමට,කිසිදු විටෙක පරිසරය කෙලෙසීමට
කෙනෙකුගේ ජීවිතයක් තුළ,කෙනෙකුගේ ජීවිතයක් තුළ
දරුවන්ගේ ගුණය,දරුවන්ගේ ගුණය
සැණෙකින් එය හදුනා ගනු ඇත.,සැණිකින් එය හඳුනා ගනු ඇත.
යෝජනාවක් කරන්නෙමි.,යෝජනාවක් කරන්නෙමි
පවුලෙ ඔක්කොම එකතු වෙලා රෑ කෑම මේසෙදි,පවුලෙ ඔක්කොම එකතුවෙලා රෑ කෑම මේසෙදි
අතිශය සරල තැනකට ගිහින් ලිවීමෙන්,අතිශය සරල තැනකට ගිහින් ලිවීමෙන්
තාම ඉවරයක් නැහැ,තාම ඉවරයක් නැහැ.
කතා කිරීම පළකට නැති දෙයක්.,කතා කිරීම පලකට නැති දෙයක්.
ඒ කාන්තාවන් මා ජීවිතේට දැකලා නෑ,ඒ කාන්තාවන් මා ජීවිතේට දැකලා නෑ.
ඔබ මේ කියන්නට උත්සාහ කරන්නේ,ඔබ මේ කියන්නට උත්සහ කරන්නේ
ඒ ගැන පරීක්ෂණ කටයුතු කරන බවත්,ඒ ගැන පරීක්ෂණ කටයුතු කරන බවත්
ලිපියේ තිබුණ උපදෙස්වලට අනුව ක්‍රියා කරනවා,ලිපියේ තිබුණ උපදෙස්වලට අනුප්‍රියා කරනවා.
යුරෝපීය යුගයේ ඉදිවුණ ශ්‍රී ලාංකික මන්දිරවල ද,යුරෝපීය යුගයේ ඉදියුණු ශ්‍රී ලාංකික මන්දිරවල ද
කාලිංග අයියට හම්බෙන්න,කාලිංග අයියට හම්බෙන්න
ඒ රටේ දේශපාලන ව්‍යාකූලතාව සමහන් වී නැත,ඒ රටේ දේශපාලන ව්‍යාකූලතාව සමහන් වී නැත
ඔබ මතු බුදු වන දවසේ,ඔබ මතු බුදු වන දවසේ
වළඳෙන් බිඳිනු මැටි කැබැල්ලක් කිරීමටත්,වළඳින් මිදිනු මැටි කැබැල්ලක් කිරීමටත්
එම ගීතය මැරිම,එම ගීතය මැරීම
නියපොත්තෙන් කඩා දැමීමට සූදානම්,නියපොත්තෙන් කඩා දැමීමට සූදානම්
සාහිත්‍යය කලා හා විදාත්මක දර්ශනය,සාහිත්‍යය කලා හා විද්‍යාත්මක දර්ශනය
බිත්තිවලට අල්ලන පතුරු ගල් ප්‍රමාණයට වැඩි විය.,බිත්තිවලට අල්ලන පතුරු ගල් ප්‍රමාණයට වැඩි විය
නරඹා නැති අයට,නරබා නැති අයට
හින්දු ආගමෙන්.,හින්දු ආගමින්
උඹ කීතු කීතු වෙනවා.,උඹ කියුතු කියුතු වෙනවා.
සනත් තවමත් සම්පූර්ණවශයෙන් ක්‍රීඩාවෙන් සමුගෙන නැත,සනත් තවමත් සම්පූර්ණ වශයෙන් ක්‍රීඩාවෙන් සමුගෙන නැත
යන්තම් වැඩේ ඉවර කරගත්ත.,යන්තම් වැඩේ ඉවර කරගත්තා.
මෙම කියන නිවස ඇතුළත,මෙම කියන නිවස ඇතුළත
ඉතාම වැදගත් බව,ඉතාම වැදගත් බව
යනුවෙන් සටහන් කරන්නේ,යනුවෙන් සටහන් කරන්නේ
ඒ වියදමට වඩා වැඩි මෙහෙවරක්,එය වියදමට වඩා වැඩි මෙහෙවරක්
හාමුදුරුකෙනෙකුට සමාජයේ ලැබෙනා සිවිල් බලය,හාමුදුරු කෙනෙකුට සමාජයෙන් ලැබෙන අසීගෙල් බලය
හැරුන කියමුකෝ,හැරුන කියමුකෝ
අප කරන්නේ එයම මිස වෙන කුමක්ද?,අප කරන්නේ එයම මිස වෙන කුමක්ද?
එච්චර ම හයියක් නැති ඔහේ එල්ලිල ඉන්න අය,එච්චර ම අයියක් නැති ඔහේ එල්ලිලා ඉන්න අය
සල්ලි කොලේක ඉන්න මුස්ලිම් පොරට,සල්ලි කොලේක ඉන්න මුස්ලිම් පොරට
එතකොට මම ඒ ඇත්තන්ට,එතකොට මම ඒ ඇත්තන්ට
අනික මේක ගොඩක්වගේ,අනික මේක ගොඩක් වගේ
කෙටි පාරවල්වලින් වත්තේගම කබරගල පාරට,කෙටි පාරවල්වලින් වත්තේගම කබරගල පාරට
මේ කරුණු සතර නම්,මේ කරුණු සතර නම්
හිතවත් හසිත,හිතවත් හසිත
සිරිතක් විය.,සිරිතක් විය.
අප ප්‍රධානියා ලෙස කල යුතු දෑ කිරීමට පෙළඹීමයි,අප ප්‍රධානියා ලෙස කළ යුතු ද ඈ කිරීමට පෙළඹීමයි.
"එනම් සිංහල ජන සංගීතයත්, බෞද්ධ සංස්කෘතියත්",එනම් සිංහල ජන සංගීතයත් බෞද්ධ සංස්කෘතියක්
කැඳ වනු ලැබ,කැඳ වනු ලැබ
"එය දාන කථා, ශීල කථා, ස්වර්ග කථා,","එය දානකථා, ශීලකථා, ස්වර්ගකථා,"
මේ පත්තරේට යම් බලපෑමක්.,මේ පත්තරේට යම් බලපෑමක්.
තෝමස් ශීත සෘතුවේ හිම වැස්සෙන්,තෝමස් සීත ඍතු වේ හිම වැස්සෙන්
අපි දෙන්නගේ රූපගත කිරීම් තිබුණෙ වෙන වෙනම.,අපි දෙන්නගේ රූපගත කිරීම තිබුණේ වෙන වෙන ම
එක්කෝ අමාත්‍යංශ ලේකම්ල පත්කිරීමේ බලය,එක්කෝ අමාත්‍යංශ ලේකම්ලා පත්කිරීමේ බලය
ඇය කෙරෙහි යොමු වෙයි,ඇය කෙරෙහි යොමු වෙයි.
මේකෙ අඩුපාඩු තිබ්බොත් සාමවෙන්න,මේකෙ අඩුපාඩු තිබ්බොත් සමාවෙන්න
මොකද ඒ විදියට නැත්නම් ඒවාට පැවැත්මක් නැහැ,මොකද ඒ විදිහට නැත්නම් ඒවාට පැවැත්මක් නැහැ.
දැනටමත් හෙමිහිට මැරෙමින් සිටිනව.,දැනටමත් හෙමිහිට මැරෙමින් සිටිනවා
හිනා වෙන්න පුළුවන්.,හිනා වෙන්න පුළුවන්.
උත්සාහ කරල තියෙනවා.,උත්සහ කරලා තියෙනවා.
බලු මස් රසට විකුනන්න තිබ්බොත්,බලු මස් රසට විකුණන්න තිබ්බොත්
ක්‍රම එන්න ඕනේ,ක්‍රම එන්න ඕනේ.
තමන්ගෙ තුවක්කුවල උණ්ඩ ඉවර උනාට පස්සෙ,තමන්ගේ තුවක්කුවල උන්ද එවුරුනාට පස්සේ
කතා නොකර හිටපිය.,කතා නොකර හිටපු ය
ලොව අනිත්‍ය දුක්ඛ අනාත්ම යන ත්‍රිලක්‍ෂණ ස්වභාව සත්‍යයකි.,"තව අනිත්‍ය, දුක්ඛ, අනාත්ම යන්න තිලක්ෂණය ස්වභාව සත්ත්වයකි."
සන්ධානය ආසනක් විතරක් ගන්න කොට,සන්ධානය ආසනක් විතරක් ගන්න කොට
එහෙම අදහසක් නම් තියෙනවා.,එහෙම අදහසක් නම් තියෙනවා.
පාරෙ අයිනක නවතිනවා,පාරේ අයිනක නවතිනවා
මයික්‍රසොෆ්ට් ආයතනය විසින්,මයිට්‍රසොෆ් ආයතනය විසින්
මකරාගෙන් සංකේතවත් වන්නේ,මකරාගෙන් සංකේතවත් වන්නේ
දෙයියනේ මොනව නොකෑවත්,දෙයියනේ මොනවා නොකෑවත්
සාමා ජෑපෑන්වල තියෙන බුදු දහමෙයි,සාමා ජැපෑන්වල තියෙන බුදු දහමෙහි
"""රෝගීන් සුවපත් කිරීම""",රෝගීන් සුවපත් කිරීම
බටහිර විද්යාව දෙස බලන ඕනෑ ම අයකුට,බටහිර විද්‍යාව දෙස බලන ඕනෑ ම අයකුට
දේශනා කරන ලද්දකි.,දේශනා කරන ලද්දකි.
නමුත් ඉදිරියේ දී,නමුත් ඉදිරියේ දී
සිංහාසනයේ වාඩිගත්තේ අප්පුහාමි නැමැත්තෙකි.,සිංහාසනයේ වාඩිගත්තේ අප්පුවහාමි නැමැත්තෙකි
පුළුල් කිරිමට ඉඩ ලැබී ඇත,පුළුල් කිරීමට ඉඩ ලැබී ඇත.
පාවිච්චි කරන්න එපා,පාවිච්චි කරන්න එපා.
ඊට පිළිතුරු දුන් ඇමතිවරයා පැවසුව,ඊට පිළිතුරු දුන් ඇමතිවරයා පැවසුවා
අනිවාර්යෙන් හඳුනා ගනීවි කියලා හිතනවා.,අනිවාර්යෙන් හඳුනා ගනීවි කියලා හිතනවා
හොඳ පරිවර්තන පොත් තියෙනවා,හොඳ පරිවර්තන පොත් තියෙනවා.
ඇතැම් විට මෙය ලෝක ඉතිහාසයේ මෙතෙක් පවරා ඇති විශාලතම,එතැන් විට මේ ලෝක ඉතිහාසයේ මෙතෙක් පවර අයිති විශාලතම
උන් වහන්සේලා ඉන්නෙ කියල දෙන්න,උන්වහන්සේලා ඉන්නේ කියල දෙන්න
වඩා යැපෙන යුරෝපයට,වඩා යැපෙන යුරෝපයට
යුද පිටියට ගිය බවත් සඳහන් ය.,යුද පිටියට ගිය බවක් සඳහන් විය
අපිට ඇමෙරිකාව සම්බාධක පැනෙව්වොත්,අපිට ඇමෙරිකාව සම්බාධක පැනවුවත්
එදා සිටි කුම්භකරන ආණ්ඩුව,එදා සිටි කුම්භකරණ ආණ්ඩුව
එක ගෙදරක ගෑණු කෙනා අලියට පිරිමි කෙනා බුලත් කොලේට,එක ගෙදරක ගෑණු කෙනා අලියට පිරිමි කෙනා බුලත් කොලේට
සමවත් සුවයෙන් වැඩ සිටියේ,සමවත් සුවයෙන් වැඩ සිටියේ
සත්‍ය ඊට වෙනස්,සත්‍යය ඊට වෙනස්
තුලා ඔබගේ අභිප්‍රායන් සපුරා ගැනීමට,තුලා ඔබගේ අභිප්‍රායන් සපුරා ගැනීමට
තාමත් ඔය පෝරමේ තියෙන්නේ,තාමත් ඔය පෝරමේ තියෙන්නේ
ආර්ථිකය සතුටුදායක තත්ත්වයක පවතින අතර ණයතුරුස්වලින් නිදහස් වීමට භාග්‍ය උදා විය හැකි දවසකි.,ආර්ථිකය සතුටුදායක තත්ත්වයක පවතින අතර නයතුරුස්වලින් නිදහස් වීමට භාග්‍ය උදා විය හැකි දවසකි.
ඉපදුණා වූ කිසිම සත්වයෙකුට මරණයෙන් ගැලවිය නොහැක,ඉපදුණා වූ කිසිම සත්වයකුට මරණයෙන් ගැලවිය නොහැක
ඈත වළා අතරින් සීඩර් ගසක් මෙන්,ඈත වළා අතරින් සිඩ ගසක් මෙන්
සොයා බලන්න කවුරුත් එන්නේ නෑ,සොයා බලන්න කවුරුත් එන්නේ නෑ.
මව්කුසින් නික්මෙන කොටම,මවකු සින් නික්මිණ කොටම
එක දෙයක් අමතක වෙලා,එක දෙයක් අමතක වෙලා
උඹට යමක් තේරෙන්නේ නැත්නම් ඒකට බුද්ධිමත්තු පළි නෑ,උඹට යමක් තේරෙන්නේ නැත්නම් ඒකට බුද්ධිමත්තු පලිනෑ
"මේවා නොසිතිය යුතු නම්, සිතිය යුත්තේ මොනවා ගැන ද?","මේවා නොසිතිය යුතු නම්, සිතිය යුත්තේ මොනවා ගැන ද?"
ප්‍රමුඛත්වයෙහිලා සැලකිය හැකි ය.,ප්‍රමුඛත්වයෙහි ලා සැලකිය හැකිය.
මැරුණ ම නිවන් යන්නේ,මැරුණ ම නිවන් යන්නේ
එනම් කුඩා දරුවකුට කිරිදෙන මව,එනම් කුඩා දරුවකුට කිරිදෙන මව
නමුත් තමුන්ගේ ම ලෙයින් උපන් දරුවෙක් වෙනුවෙන්,නමුත් තමුන්ගේ ම ලෙයින් උපන් දරුවෙක් වෙනුවෙන්
එක් අයකු හෝ නොමැති තත්ත්වය දිගින් දිගට ම පවත්වාගෙන යාම,එක් අයෙකු හෝ නොමැති තත්ත්වය දිගින් දිගට ම පවත්වාගෙන යාම
එතෙක් වේලා බලා සිටි අල්ලස් කොමිසමේ නිලධාරිහු,එතෙක් වේලා බලා සිටි අල්ලස් කොමිසමේ නිලධාරීහු
මේ අවුරුදු හය රඟපෑම වෙනුවෙන් ගෙවී ගියේ.,මේ අවුරුදු හය රඟපෑම වෙනුවෙන් ගෙවී ගියේ.
ඕනෑ ම කෙනෙකුගේ ජීවිතයක් බලන්න පුළුවන්.,ඕනෑ ම කෙනෙකුගේ ජීවිතයක් බලන්න පුළුවන්.
තමන්ගේ වගේ භාවිත කරන උන්,තමන්ගේ වගේ භාවිත කරන උන්
ඒත් සමහරු ඉන්නවා,ඒත් සමහරු ඉන්නවා
එම ගිවිසුම වන්නේ,එම ගිවිසුම වන්නේ
අර්ථ දැක්විය හැක,අර්ථ දැක්විය හැක.
නැතුව මේ අපේ සපත්තු,නැතුව මෙය අපේ සපත්තු
තමන්ගේ දරුවන් දෙදෙනත් එක්ක,තමන්ගේ දරුවන් දෙදෙනත් එක්ක
එහි විකාශය පිළිබඳවයි.,එහි විකාශය පිළිබඳවයි
සෞඛ්‍ය අමාත්‍යංශය තීරණය කර ඇතැයි වාර්තා වෙයි,සෞඛ්‍ය අමාත්‍යංශය තීරණය කර ඇතැයි වාර්තා වෙයි
ඇත්තට ම මොකක් ද පුහුණුකරු කිව්වේ ඔබ යවන්න කලින්?,ඇත්තට ම මොකක් ද ප්‍රවුණුකරු කිව්වේ ඔබ යවන්න කලින්.
අපට කවදාවත් මරණයෙන් පැන යන්න බැහැ,අපට කවදාවත් මරණයෙන් පැනයන්න බැහැ.
මේව කියවපුව ම,මේවා කියවපුව ම
දහමක් දෙසා ගෙන,දහමක් දෙසාගෙන
බෞද්ධ විග්‍රහය අනුව,බෞද්ධ විග්‍රහය අනුව
වැඩේ සුපිරිම සුපිරි එච්චචරයි ලොවෙත් නෑ.,වැඩේ සුපිරිම් සුපිරි එච්චරයි ලොවෙත් නෑ
එම ශිල්පියා,එම ශිල්පයා
පොත්පත් කියවීම.,පොත්පත් කිය වීම
ස්වාමියාට හොඳ යෙහෙළියකි.,ස්වාමියාට හොඳ යෙහෙළියකි
මුළු රටේ ම පාහේ ජනතාව අතරේ,මුළු රටේ ම පාහේ ජනතාව අතරේ
ඉවාන් බටු උයන හැටි කෙසේ වෙතත්,ඉවාන් බටු උයන හැටි කෙසේ වෙතත්
මේ හැර සඳකිඳුරුදා කව දහම්සොඬ කාව්‍යය,මේ හැර සඳකිඳු රුදා කව දහම් සොඬ කාව්‍යය
හිස සිට දෙපා දක්වා,හිස සිට දෙපා දක්වා
ඔය අතරේ පොලිසියෙන්,ඔය අතරේ පොලිසියෙන්
ඉදිරිපස දොර පැත්තේ,ඉදිරිපස දොර පැත්තේ
තමා අනාවැකි කී බව සදහන් කිරීම,තමා නවෙකිකි බව සඳහන් කිරීම
කියගෙන යන්නකො,කියගෙන යන්නකෝ
විහාර බිම පුරා තිබෙනු දැකිය හැකි ය,විහාර බිම් පුරා තිබෙනු දැකිය හැක.
මහා පරිමාණයෙන් ආරාම සතු ව පැවති,මහා පරිමාණයෙන් ආරාම සතු ව පැවැති
තැන්කු ඈ.,ටැංකු ඈ.
බුදුරජාණන් වහන්සේ මේ ගාථාවෙන්,බුදුරජාණන් වහන්සේ මේ ගහතාවෙන්
ඉතින් කිව්වා මේගොල්ලෝ වතුර බොයිනේ,ඉතින් කිව්වා මේ ගොල්ලෝ වතුර බොයිනෙ
ෆීල්ම් එකට ස්තූතියි.,ෆිල්ම් එකට ස්තුතියි
වෙනස් වෙන්න ඕනේ තැන් එහෙම තියනවානම්,වෙනස් වෙන්න ඕනෙ තැන් එහෙම තියනවනම්
පත්තරේ තියෙන්නෙත්,පත්තරේ තියෙන්නෙත්
ශ්‍රී ලංකාව නියෝජනය කළේ,ශ්‍රී ලංකාව නියෝජනය කළේ
එහෙම තියේ නං මැරුණට පස්සෙ,එහෙම තියේ නම් මැරුණට පස්සේ
ඔහුගෙ සෙක්ස් ඇපිටයිට් එක,ඔහුගේ සෙක්සෑ අපේ ටයිට් එක
ලේසියෙන් ම කරන්න පුළුවන්,ලේසියෙ ම කරන්න පුළුවන්
බිම ඇලවුනොත් විතරයි,බිම ඇලවුනොත් විතරයි.
බිම්බිසාර රජුගේ බිසවක වූ,බිඹිසල් රජුගේ බිසවක වූ
ගොඩක් මහන්සිවෙලා කළ නිර්මාණයක්,ගොඩක් මහන්සිවෙලා කළ නිර්මාණයක්
ඒකේ පොතකුයි,ඒකේ පොතකුයි
අපගේ ශාස්තෘන් වහන්සේ,අපගේ ශාස්තෘන් වහන්සේ
අවිද්‍යාව බව පැහැදිලිය.,අවිද්‍යාව බව පැහැදිලි ය
ස්ක්‍රබ් එක අයින් කරලා,ස්ක්‍රබ් එක අයින් කරන්න.
මේ නියමය පනවන්නට,මේ නියමය පනවන්නට
උතුරේ තරුණ පරම්පරාව,උතුරේ තරුණ පරම්පරාව
සාමාන්‍යයෙන් කොළඹ පැත්තෙදි,සාමාන්‍යයෙන් කොළඹ පැත්තේ දී
එසේනම් ධර්මාවබෝධය ලද්දෙකු ලෙස,එසේ නම් ධර්ම අවබෝධය ලද්දෙකු ලෙස
